Datetime,Open,High,Low,Close,Adj Close,Volume
2021-05-26 07:04:00+01:00,39364.91,39364.91,39364.91,39364.91,39364.91,28385280
2021-05-26 07:05:00+01:00,39349.26,39349.26,39349.26,39349.26,39349.26,29110272
2021-05-26 07:06:00+01:00,39354.03,39354.03,39354.03,39354.03,39354.03,1699840
2021-05-26 07:07:00+01:00,39358.54,39358.54,39358.54,39358.54,39358.54,28119040
2021-05-26 07:08:00+01:00,39401.29,39401.29,39401.29,39401.29,39401.29,0
2021-05-26 07:09:00+01:00,39438.38,39438.38,39438.38,39438.38,39438.38,35209216
2021-05-26 07:10:00+01:00,39427.69,39427.69,39427.69,39427.69,39427.69,53981184
2021-05-26 07:11:00+01:00,39440.64,39440.64,39440.64,39440.64,39440.64,0
2021-05-26 07:13:00+01:00,39525.49,39525.49,39525.49,39525.49,39525.49,43831296
2021-05-26 07:14:00+01:00,39536.57,39536.57,39536.57,39536.57,39536.57,25202688
2021-05-26 07:15:00+01:00,39551.17,39551.17,39551.17,39551.17,39551.17,8843264
2021-05-26 07:16:00+01:00,39757.29,39757.29,39757.29,39757.29,39757.29,112369664
2021-05-26 07:17:00+01:00,39779.38,39779.38,39779.38,39779.38,39779.38,129835008
2021-05-26 07:18:00+01:00,39798.74,39798.74,39798.74,39798.74,39798.74,50216960
2021-05-26 07:19:00+01:00,39857.91,39857.91,39857.91,39857.91,39857.91,191574016
2021-05-26 07:20:00+01:00,39809.99,39809.99,39809.99,39809.99,39809.99,31223808
2021-05-26 07:21:00+01:00,39828.94,39828.94,39828.94,39828.94,39828.94,0
2021-05-26 07:22:00+01:00,39818.8,39818.8,39818.8,39818.8,39818.8,42426368
2021-05-26 07:23:00+01:00,39822.87,39822.87,39822.87,39822.87,39822.87,0
2021-05-26 07:24:00+01:00,39896.34,39896.34,39896.34,39896.34,39896.34,37425152
2021-05-26 07:25:00+01:00,39932.39,39932.39,39932.39,39932.39,39932.39,116830208
2021-05-26 07:26:00+01:00,40263.19,40263.19,40263.19,40263.19,40263.19,180002816
2021-05-26 07:27:00+01:00,40204.25,40204.25,40204.25,40204.25,40204.25,239468544
2021-05-26 07:28:00+01:00,40225.24,40225.24,40225.24,40225.24,40225.24,206860288
2021-05-26 07:29:00+01:00,40173.31,40173.31,40173.31,40173.31,40173.31,6832128
2021-05-26 07:30:00+01:00,40317.05,40317.05,40317.05,40317.05,40317.05,26652672
2021-05-26 07:31:00+01:00,40471.98,40471.98,40471.98,40471.98,40471.98,249180160
2021-05-26 07:32:00+01:00,40471.41,40471.41,40471.41,40471.41,40471.41,75325440
2021-05-26 07:33:00+01:00,40447.3,40447.3,40447.3,40447.3,40447.3,11276288
2021-05-26 07:34:00+01:00,40469.35,40469.35,40469.35,40469.35,40469.35,87457792
2021-05-26 07:35:00+01:00,40502.09,40502.09,40502.09,40502.09,40502.09,17629184
2021-05-26 07:36:00+01:00,40693.51,40693.51,40693.51,40693.51,40693.51,114634752
2021-05-26 07:37:00+01:00,40728.73,40728.73,40728.73,40728.73,40728.73,276250624
2021-05-26 07:38:00+01:00,40678.68,40678.68,40678.68,40678.68,40678.68,14471168
2021-05-26 07:39:00+01:00,40764.89,40764.89,40764.89,40764.89,40764.89,17027072
2021-05-26 07:40:00+01:00,40710.71,40710.71,40710.71,40710.71,40710.71,90402816
2021-05-26 07:41:00+01:00,40676.43,40676.43,40676.43,40676.43,40676.43,0
2021-05-26 07:42:00+01:00,40669.52,40669.52,40669.52,40669.52,40669.52,0
2021-05-26 07:43:00+01:00,40701.48,40701.48,40701.48,40701.48,40701.48,30556160
2021-05-26 07:44:00+01:00,40707.61,40707.61,40707.61,40707.61,40707.61,33730560
2021-05-26 07:45:00+01:00,40757.08,40757.08,40757.08,40757.08,40757.08,0
2021-05-26 07:46:00+01:00,40633.61,40633.61,40633.61,40633.61,40633.61,124252160
2021-05-26 07:47:00+01:00,40663.11,40663.11,40663.11,40663.11,40663.11,0
2021-05-26 07:48:00+01:00,40594.11,40594.11,40594.11,40594.11,40594.11,2912256
2021-05-26 07:49:00+01:00,40578.7,40578.7,40578.7,40578.7,40578.7,0
2021-05-26 07:50:00+01:00,40563.89,40563.89,40563.89,40563.89,40563.89,6844416
2021-05-26 07:51:00+01:00,40514.03,40514.03,40514.03,40514.03,40514.03,0
2021-05-26 07:52:00+01:00,40536.81,40536.81,40536.81,40536.81,40536.81,0
2021-05-26 07:53:00+01:00,40622.29,40622.29,40622.29,40622.29,40622.29,45142016
2021-05-26 07:54:00+01:00,40652.64,40652.64,40652.64,40652.64,40652.64,62013440
2021-05-26 07:55:00+01:00,40680.38,40680.38,40680.38,40680.38,40680.38,100683776
2021-05-26 07:56:00+01:00,40603.02,40603.02,40603.02,40603.02,40603.02,0
2021-05-26 07:57:00+01:00,40584.95,40584.95,40584.95,40584.95,40584.95,0
2021-05-26 07:58:00+01:00,40561.81,40561.81,40561.81,40561.81,40561.81,0
2021-05-26 07:59:00+01:00,40577.09,40577.09,40577.09,40577.09,40577.09,0
2021-05-26 08:00:00+01:00,40633.64,40633.64,40633.64,40633.64,40633.64,20709376
2021-05-26 08:01:00+01:00,40586.98,40586.98,40586.98,40586.98,40586.98,0
